X,Y,Z,Name,Id
34.79035468,31.25563615,0,ב/11,3709
34.79598888,31.25669652,0,ב/3,3710
34.79417255,31.25495721,0,ב/4,3711
34.79540345,31.2572901,0,ב/10,3712
34.78914436,31.25460144,0,ב/1,3713
34.79390717,31.25656793,0,ב/6,3714
34.7965042,31.2550313,0,ב/5,3715
34.7892948,31.25751739,0,ב/7,3716
34.78154787,31.25792453,0,בא/1,3717
34.78365612,31.25790565,0,בא/3,3718
34.77515807,31.22265657,0,בקע/7,3719
34.78091795,31.22456435,0,בקע/12,3720
34.78182231,31.2426844,0,רסקו/1,3721
34.78161783,31.24024801,0,ע/7,3722
34.78334434,31.23996101,0,ע/4,3723
34.76235114,31.26794522,0,נע/14,3724
34.76264293,31.26382986,0,נע/20,3725
34.77178595,31.2702366,0,נע/1,3726
34.77095772,31.26987535,0,נע/2,3727
34.76361539,31.26514482,0,נע/19,3728
34.76190932,31.26906483,0,נע/13,3729
34.76446334,31.26816998,0,נע/15,3730
34.76487285,31.26937708,0,נע/11,3731
34.75778122,31.26571332,0,נע/24,3732
34.77097936,31.27095304,0,נע/4,3733
34.7656731,31.27220407,0,נע/8,3734
34.76437994,31.26450338,0,נע/18,3735
34.76754748,31.27122837,0,נע/7,3736
34.76952982,31.2715811,0,נע/5,3737
34.77330567,31.25669792,0,מ/1,3738
34.77341537,31.25710116,0,מ/2,3739
34.80529372,31.26966623,0,ר/10,3740
34.80526759,31.27528124,0,ר/23,3741
34.80089102,31.27424108,0,ר/17,3742
34.80830699,31.2691091,0,ר/2,3743
34.80672108,31.27240575,0,ר/7,3744
34.80885183,31.25980864,0,ג/43,3745
34.80198474,31.25070733,0,ג/46,3746
34.8065744,31.25167811,0,ג/11,3747
34.81001387,31.25253211,0,ג/12,3748
34.80812641,31.24866132,0,ג/29,3749
34.77803473,31.25545107,0,ה/1,3750
34.78262024,31.24901949,0,ה/5,3751
34.77078584,31.2670088,0,ו/2,3752
34.77231907,31.26828884,0,ו/4,3753
34.77489442,31.2693095,0,ו/5,3754
34.77918176,31.25080142,0,ה/4,3755
34.79486985,31.26809727,0,ד/7,3756
34.79709078,31.26796729,0,ד/47,3757
34.79500729,31.26717,0,ד/42,3758
34.79702511,31.26101714,0,ד/17,3759
34.79658722,31.26048716,0,ד/32,3760
34.79533862,31.26117141,0,ד/16,3761
34.79354433,31.2602867,0,ד/18,3762
34.79291931,31.26085646,0,ד/15,3763
34.7929354,31.25895701,0,ד/41,3764
34.7939598,31.26690889,0,ד/31,3765
34.7952478,31.2643124,0,ד/33,3766
34.79707322,31.26442507,0,ד/23,3767
34.79446444,31.2626755,0,ד/10,3768
34.79742659,31.26262838,0,ד/22,3769
34.79299764,31.26635411,0,ד/20,3770
34.78549202,31.23786943,0,ע/3,3771
34.78899808,31.23719618,0,ע/6,3772
34.80494589,31.25229762,0,ג/19,3773
34.81009622,31.25512762,0,ג/37,3774
34.80871611,31.25553667,0,ג/38,3775
34.78339628,31.27100924,0,ד/60,3776
34.78503993,31.26978593,0,ד/59,3777
34.79599898,31.2488988,0,א/2,3778
34.80513944,31.25019478,0,ג/14,3779
34.80284196,31.25011359,0,ג/15,3780
34.80615344,31.24870396,0,ג/16,3781
34.80434471,31.24825959,0,ג/17,3782
34.80726405,31.2476432,0,ג/18,3783
34.81146289,31.25291396,0,ג/20,3784
34.80618519,31.2562439,0,ג/21,3785
34.8065676,31.25028511,0,ג/24,3786
34.81037658,31.25616008,0,ג/27,3787
34.80369548,31.25104169,0,ג/28,3788
34.8085987,31.24971318,0,ג/13,3789
34.81123383,31.25815035,0,ג/42,3790
34.80984301,31.25901592,0,ג/35,3791
34.80944357,31.25811976,0,ג/34,3792
34.80781537,31.25564743,0,ג/5,3793
34.81033424,31.2571553,0,ג/4,3794
34.80709071,31.25491809,0,ג/8,3795
34.8035195,31.25453203,0,ג/6,3796
34.80860553,31.24657262,0,ג/45,3797
34.80286114,31.25207254,0,ג/30,3798
34.79374784,31.26159975,0,ד/12,3799
34.79561868,31.27216635,0,ד/28,3800
34.79358614,31.27097161,0,ד/4,3801
34.79191884,31.26165811,0,ד/14,3802
34.79992937,31.26497338,0,ד/24,3803
34.80118799,31.26584911,0,ד/25,3804
34.80124748,31.26888868,0,ד/36,3805
34.79234527,31.2683041,0,ד/27,3806
34.79696239,31.27071253,0,ד/34,3807
34.79476676,31.27142829,0,ד/3,3808
34.8086734,31.25476907,0,ג/9,3809
34.80687017,31.25707066,0,ג/44,3810
34.77658769,31.24659211,0,ט/1,3811
34.79294107,31.26920594,0,ד/5,3812
34.7910701,31.24439156,0,ע/5,3813
34.79355826,31.23143042,0,נ/3,3814
34.79546349,31.26920816,0,ד/48,3815
34.7948532,31.26936307,0,ד/6,3816
34.78682272,31.27030858,0,ד/53,3817
34.78573205,31.25957433,0,מ/7,3818
34.795653,31.27006075,0,ד/43,3819
34.79139584,31.25648756,0,ב/2,3820
34.77965608,31.24791562,0,ה/14,3821
34.78100818,31.24815474,0,ה/15,3822
34.77898084,31.25481296,0,ה/10,3823
34.79487302,31.2665665,0,ד/8,3824
34.78056993,31.25046351,0,ה/7,3825
34.80237771,31.25418238,0,ג/41,3826
34.79681043,31.26837913,0,ד/19,3827
34.7835412,31.27130754,0,ד/51,3828
34.78921212,31.24829516,0,א/11,3829
34.80703834,31.27375076,0,ר/6,3830
34.80801928,31.27259079,0,ר/5,3831
34.80854958,31.2570404,0,ג/32,3832
34.77931694,31.25269932,0,ה/3,3833
34.80255429,31.25179727,0,ג/10,3834
34.7698469,31.2663416,0,ו/1,3835
34.80727281,31.27098785,0,ר/8,3836
34.800863,31.26602933,0,ד/26,3837
34.81164566,31.25408293,0,ג/48,3838
34.78429041,31.27013665,0,ד/57,3839
34.79503798,31.2402114,0,ע/11,3840
34.79612406,31.26465678,0,ד/50,3841
34.80833499,31.24633044,0,ג/50,3842
34.78255039,31.23477884,0,ע/10,3843
34.80814915,31.25242828,0,ג/40,3844
