source,dest,dist
1,2596,1.6726399214375434
1,2597,1.6040597102067649
1,2598,2.6106663246985904
1,2599,2.764242169902996
1,2600,4.476995084127253
1,2601,4.072890572388511
1,2602,4.080078256150434
1,2603,4.030199024177386
1,2604,3.7322966621599045
1,2605,2.313242079162375
1,2606,2.73311772971258
1,2607,2.2581707352163876
1,2608,2.4627659040240646
1,2609,2.559145609701216
1,2610,2.5884391760248446
1,2611,6.188307567637352
1,2612,5.882129744252818
1,2613,6.058220668272669
1,2614,6.4993151854460836
1,2615,4.424818512769729
1,2616,4.346579165740014
1,2617,4.444943311157524
1,2618,4.670874267019444
1,2619,3.988573208733046
1,2620,4.6968369049059575
1,2621,4.844198076388109
1,2622,4.412941651098873
1,2623,5.060361470651848
1,2624,5.084517144548653
1,2625,5.221590244840868
1,2626,4.298677587902994
1,2627,4.20723158120289
1,2628,4.3953154964101575
1,2629,4.473913021600718
1,2630,4.319431062762524
1,2631,6.132257889714266
1,2632,1.7377799043906994
1,2633,4.1555022713111756
1,2634,4.37630373603177
2,2596,1.4006544233718456
2,2597,1.3422484861125896
2,2598,2.493683541553771
2,2599,2.6537170161757446
2,2600,4.474352591057636
2,2601,4.034448123299985
2,2602,4.045945501473588
2,2603,3.996282770442508
2,2604,3.79035003855586
2,2605,2.372852408176375
2,2606,2.993289398338978
2,2607,2.6494069722517106
2,2608,2.967171606232822
2,2609,3.0662144963770186
2,2610,3.087601491686767
2,2611,6.109991497245446
2,2612,5.869738177235011
2,2613,6.084907846369608
2,2614,6.552524527518826
2,2615,4.511627015988549
2,2616,4.439907821739421
2,2617,4.583907110412118
2,2618,4.8133629910564695
2,2619,4.13368028032237
2,2620,4.860510922627435
2,2621,5.025071132130584
2,2622,4.682023918983168
2,2623,5.318033028724486
2,2624,5.34759780185885
2,2625,5.477972645105212
2,2626,4.280339332407836
2,2627,4.309838185141838
2,2628,4.6764032328682745
2,2629,4.747675684002243
2,2630,4.607716911500971
2,2631,6.151823169896108
2,2632,1.2247934021704259
2,2633,4.253060443382314
2,2634,4.673715644550523
3,2596,1.7611764779909926
3,2597,1.692418758121188
3,2598,2.6893815388513245
3,2599,2.842173583972764
3,2600,4.541974915876015
3,2601,4.142277505186224
3,2602,4.148991709115508
3,2603,4.099138125300982
3,2604,3.790537381295645
3,2605,2.374396234664986
3,2606,2.7607085938462097
3,2607,2.2563987312178915
3,2608,2.41526005761609
3,2609,2.5095349566126957
3,2610,2.5442880344028076
3,2611,6.260565582681578
3,2612,5.947315433697255
3,2613,6.118540013156002
3,2614,6.5559505544451815
3,2615,4.478298578496152
3,2616,4.399218943147322
3,2617,4.490674049350036
3,2618,4.715817655016305
3,2619,4.033901004341152
3,2620,4.738363812025635
3,2621,4.882726517851231
3,2622,4.435695254513213
3,2623,5.0847304078376325
3,2624,5.107799687152569
3,2625,5.246074174233367
3,2626,4.365630167015508
3,2627,4.258695782309361
3,2628,4.41564676975429
3,2629,4.495653423862235
3,2630,4.33835491474053
3,2631,6.193438916800942
3,2632,1.8105889245218314
3,2633,4.207755978637995
3,2634,4.3932313307248
4,2596,1.7912807656926037
4,2597,1.7207392315683285
4,2598,2.664148893324698
4,2599,2.813978881084796
4,2600,4.477068541807397
4,2601,4.087998798890073
4,2602,4.093537087735137
4,2603,4.043787328939738
4,2604,3.712396098355224
4,2605,2.3040789170733116
4,2606,2.6395569878014604
4,2607,2.112682276664036
4,2608,2.2702204947088895
4,2609,2.365723101150323
4,2610,2.3976140151744043
4,2611,6.212594801377559
4,2612,5.882163040564281
4,2613,6.0431370170492995
4,2614,6.473416019810994
4,2615,4.391046413675287
4,2616,4.310583276695637
4,2617,4.3910681804321
4,2618,4.614943747419806
4,2619,3.9339755979102704
4,2620,4.632673704281339
4,2621,4.773008417921808
4,2622,4.308671295763604
4,2623,4.959049894224677
4,2624,4.981071572687786
4,2625,5.120462376843978
4,2626,4.305322424847509
4,2627,4.1681850505251115
4,2628,4.2864059633186375
4,2629,4.367665165755951
4,2630,4.20790028997332
4,2631,6.119730614655303
4,2632,1.92979582319778
4,2633,4.118593746818652
4,2634,4.261067721701102
5,2596,1.8733451869337165
5,2597,1.8076150599851015
5,2598,2.8587029690574184
5,2599,3.0139299387804264
5,2600,4.742774845390587
5,2601,4.335147496196679
5,2602,4.3428025604808855
5,2603,4.292907670469187
5,2604,4.000710753729099
5,2605,2.581069328455974
5,2606,2.9861761946212106
5,2607,2.4702273230205076
5,2608,2.5642280896375995
5,2609,2.6534701903585356
5,2610,2.69997803755541
5,2611,6.446841798671045
5,2612,6.147673538052316
5,2613,6.3260782686944035
5,2614,6.76789697327738
5,2615,4.693409518163818
5,2616,4.615082429171967
5,2617,4.711523087641083
5,2618,4.937115406212374
5,2619,4.254960081855863
5,2620,4.961299428751708
5,2621,5.106750933764058
5,2622,4.660632141545671
5,2623,5.309898119003566
5,2624,5.33280451391098
5,2625,5.471253766775457
5,2626,4.56308471881667
5,2627,4.47555363335701
5,2628,4.6400779147632285
5,2629,4.720395330071464
5,2630,4.562422990472898
5,2631,6.399822474415602
5,2632,1.7650304389966005
5,2633,4.423950830142025
5,2634,4.616680646108859
6,2596,1.9922010289723888
6,2597,1.9226214379958215
6,2598,2.884318860945145
6,2599,3.034394281284905
6,2600,4.692451436453079
6,2601,4.306436428896789
6,2602,4.311711010556793
6,2603,4.261993238004564
6,2604,3.9223194279549953
6,2605,2.5184129398943913
6,2606,2.8101588678107143
6,2607,2.2297270693586513
6,2608,2.266209614858818
6,2609,2.354653620797319
6,2610,2.4033729361306015
6,2611,6.432030598668289
6,2612,6.0972281840891425
6,2613,6.253798792844016
6,2614,6.680057400382038
6,2615,4.595246595750023
6,2616,4.5138710582748525
6,2617,4.585511633081045
6,2618,4.808083494516288
6,2619,4.128413189793087
6,2620,4.820959655008005
6,2621,4.956692582014314
6,2622,4.466763798455747
6,2623,5.11912785285309
6,2624,5.139179683654337
6,2625,5.2805566039216245
6,2626,4.522200485177963
6,2627,4.370204743297898
6,2628,4.440131092709921
6,2629,4.523833345828529
6,2630,4.359155800751519
6,2631,6.331204440063219
6,2632,2.030406300575354
6,2633,4.32160528810159
6,2634,4.408483512015665
7,2596,1.6505184735220846
7,2597,1.5853355252171253
7,2598,2.65503273306961
7,2599,2.8116279781400038
7,2600,4.56621525590354
7,2601,4.149365377718811
7,2602,4.158041413095343
7,2603,4.10814418236577
7,2604,3.8398333026698297
7,2605,2.4166438199727542
7,2606,2.89551303675936
7,2607,2.446677946464478
7,2608,2.6510803494883537
7,2609,2.7460587535238976
7,2610,2.778696965183699
7,2611,6.253427203184383
7,2612,5.969696830993976
7,2613,6.158733567842203
7,2614,6.60855058576512
7,2615,4.542406207837355
7,2616,4.466032389378791
7,2617,4.577951622908252
7,2618,4.80515542144866
7,2619,4.122706463752629
7,2620,4.837087429041236
7,2621,4.9892914482357105
7,2622,4.579778235457712
7,2623,5.225032951578539
7,2624,5.250464193544577
7,2625,5.386064868798863
7,2626,4.382374364213405
7,2627,4.32927090267934
7,2628,4.564865121176746
7,2629,4.641871668532177
7,2630,4.490517651163233
7,2631,6.230533064044673
7,2632,1.5847582954564043
7,2633,4.275948143890776
7,2634,4.549415603708819
8,2596,1.8783355544210285
8,2597,1.810032126587811
8,2598,2.811038647797587
8,2599,2.9636667530968475
8,2600,4.657412100809085
8,2601,4.260310391802422
8,2602,4.266770025079856
8,2603,4.21693434768334
8,2604,3.901488238892756
8,2605,2.4877969535636946
8,2606,2.8449435409304176
8,2607,2.3085076510870564
8,2608,2.402750653561047
8,2609,2.493397826858398
8,2610,2.5369035301015668
8,2611,6.379939812755186
8,2612,6.062781156042998
8,2613,6.23071093439172
8,2614,6.665352139048844
8,2615,4.585473230340244
8,2616,4.505734106230171
8,2617,4.591323208324078
8,2618,4.8157150593063305
8,2619,4.1343195203267715
8,2620,4.835153008539173
8,2621,4.976666697008934
8,2622,4.513795873633843
8,2623,5.164319202225243
8,2624,5.186220841573148
8,2625,5.325736086230428
8,2626,4.482282286878596
8,2627,4.36428378574348
8,2628,4.491138754646143
8,2629,4.572638886649058
8,2630,4.41234269876476
8,2631,6.306215285123625
8,2632,1.877219409680981
8,2633,4.313998842609682
8,2634,4.464986127002616
9,2596,1.8489203590384877
9,2597,1.77759362580944
9,2598,2.6852224249548216
9,2599,2.8327804245997394
9,2600,4.467669571328113
9,2601,4.086832333798621
9,2602,4.091496474157818
9,2603,4.041861005687793
9,2604,3.6932360410483795
9,2605,2.293042339246997
9,2606,2.5835612871050304
9,2607,2.030880428870511
9,2608,2.1675312607062223
9,2609,2.26290798233959
9,2610,2.2953141290872834
9,2611,6.214994410259534
9,2612,5.871928545324989
9,2613,6.024933935838862
9,2614,6.449428759928826
9,2615,4.3640452474138565
9,2616,4.282489182672806
9,2617,4.3536663389411405
9,2618,4.576333882268268
9,2619,3.896561021108093
9,2620,4.589825987367446
9,2621,4.726486273302697
9,2622,4.245661078812396
9,2623,4.897212111010489
9,2624,4.918158880839902
9,2625,5.0586511463097645
9,2626,4.299511407434895
9,2627,4.138621877378635
9,2628,4.221085456896006
9,2629,4.303633223120668
9,2630,4.141312444805258
9,2631,6.102828881870972
9,2632,2.028201767745237
9,2633,4.090181695490406
9,2634,4.192607798946301
10,2596,1.8332588082093573
10,2597,1.7636006882573039
10,2598,2.7323853687749216
10,2599,2.88343078403448
10,2600,4.559160429453699
10,2601,4.166901663708673
10,2602,4.172807075140822
10,2603,4.123018940091266
10,2604,3.7977865982638526
10,2605,2.387273371842055
10,2606,2.729805163562261
10,2607,2.1963408943771583
10,2608,2.321901127848687
10,2609,2.4151295689704333
10,2610,2.4526176244284805
10,2611,6.289646177970179
10,2612,5.964420018080398
10,2613,6.1280394326180465
10,2614,6.559925957456068
10,2615,4.478405359582706
10,2616,4.398194725745748
10,2617,4.4803735304297145
10,2618,4.704407219080462
10,2619,4.02330257880599
10,2620,4.722615193419516
10,2621,4.863224573659171
10,2622,4.3982945144367545
10,2623,5.048839277169004
10,2624,5.0707209766835275
10,2625,5.210257356330775
10,2626,4.386081682581457
10,2627,4.256122386370741
10,2628,4.375664725906268
10,2629,4.457138608151941
10,2630,4.296922611186467
10,2631,6.2042274031097
10,2632,1.9106817085778858
10,2633,4.206289242978693
10,2634,4.349697773880965
11,2596,1.8779665033473685
11,2597,1.8077906920031324
11,2598,2.757807204911599
11,2599,2.9076444456154444
11,2600,4.567263749004549
11,2601,4.179896606996126
11,2602,4.18527957027272
11,2603,4.135548167350304
11,2604,3.799742517751341
11,2605,2.3936501277287294
11,2606,2.707893376811369
11,2607,2.1561682863328566
11,2608,2.2610069291322596
11,2609,2.353631605810247
11,2610,2.3926865779423414
11,2611,6.305114055873168
11,2612,5.972203929571293
11,2613,6.130911692704565
11,2614,6.559199475214436
11,2615,4.475576067648727
11,2616,4.394663329329343
11,2617,4.470894010358474
11,2618,4.694164726450651
11,2619,4.013764366730937
11,2620,4.7096040459729025
11,2621,4.847794094265016
11,2622,4.371617189125937
11,2623,5.022985333935877
11,2624,5.044113527940541
11,2625,5.184422828879867
11,2626,4.396330047090232
11,2627,4.251640152750755
11,2628,4.347361394325073
11,2629,4.429743941315977
11,2630,4.267721468278664
11,2631,6.2079167557167345
11,2632,1.9744363717580087
11,2633,4.202529428159675
