source,dest,dist
3583,2596,3.6621537904708905
3583,2597,3.6290203130630907
3583,2598,2.98687315202934
3583,2599,2.954023593613447
3583,2600,2.6718604723553865
3583,2601,2.75678645395013
3583,2602,2.7289210949537237
3583,2603,2.709007167661757
3583,2604,1.9763129320584618
3583,2605,2.232327447199282
3583,2606,1.1427246154824915
3583,2607,1.6589241859415986
3583,2608,2.601523368555567
3583,2609,2.6607737717802515
3583,2610,2.4751753515155905
3583,2611,4.347443270266063
3583,2612,3.639861351322609
3583,2613,3.5028525044424996
3583,2614,3.687855482466937
3583,2615,1.9841346216494429
3583,2616,1.8996124492253323
3583,2617,1.600818973258861
3583,2618,1.7009949421993613
3583,2619,1.376622263120182
3583,2620,1.5648815497724238
3583,2621,1.5485140623017057
3583,2622,0.6905219985041203
3583,2623,1.331443836560725
3583,2624,1.3382373942355759
3583,2625,1.4891247634490803
3583,2626,2.704312163387586
3583,2627,1.772588767405854
3583,2628,0.6292284194589424
3583,2629,0.7270670037834803
3583,2630,0.5371135943025532
3583,2631,3.6101194582029525
3583,2632,4.830424128092187
3583,2633,1.7920741477523392
3583,2634,0.5787656580174854
3584,2596,3.648733051345254
3584,2597,3.614000559003732
3584,2598,3.001341368979114
3584,2599,2.9732620593455996
3584,2600,2.743212551804566
3584,2601,2.816363268684746
3584,2602,2.78903997748998
3584,2603,2.7679780200735578
3584,2604,2.033805476777257
3584,2605,2.2326116398348934
3584,2606,1.1190952067955788
3584,2607,1.5884267190963215
3584,2608,2.5133405615514315
3584,2609,2.571706957065839
3584,2610,2.386016101648244
3584,2611,4.429547445146693
3584,2612,3.725621981164062
3584,2613,3.5920065495416935
3584,2614,3.778985270270679
3584,2615,2.0635125758998787
3584,2616,1.9780509195562268
3584,2617,1.6860023577432586
3584,2618,1.789581675285707
3584,2619,1.4504180858607854
3584,2620,1.6551869751151884
3584,2621,1.639914242542967
3584,2622,0.7740297675830445
3584,2623,1.4086799319979808
3584,2624,1.4129509905895494
3584,2625,1.565072626377525
3584,2626,2.7706559152247356
3584,2627,1.8486967478551153
3584,2628,0.7060902377503777
3584,2629,0.8066159296242122
3584,2630,0.6102032677387969
3584,2631,3.699139491534493
3584,2632,4.805745637336107
3584,2633,1.8662910247263327
3584,2634,0.6406133939517389
3585,2596,3.774880037299579
3585,2597,3.7416416056624264
3585,2598,3.0960952237867887
3585,2599,3.0616221152220806
3585,2600,2.7345057458407402
3585,2601,2.83559961072161
3585,2602,2.8071224110184954
3585,2603,2.7885554584960928
3585,2604,2.0582854421428824
3585,2605,2.344656794331906
3585,2606,1.2537956319665915
3585,2607,1.7406566937014398
3585,2608,2.645074590956567
3585,2609,2.700233718249345
3585,2610,2.5142914017650013
3585,2611,4.3868887733224975
3585,2612,3.6686407700406565
3585,2613,3.5170974538774464
3585,2614,3.6855201078517354
3585,2615,2.0323001976993442
3585,2616,1.9500235040111686
3585,2617,1.6341827321900335
3585,2618,1.7204693856002082
3585,2619,1.4375105175114298
3585,2620,1.5740109867303091
3585,2621,1.540954369455663
3585,2622,0.6378358059126124
3585,2623,1.2619787413153378
3585,2624,1.2641969403408981
3585,2625,1.4171186740994675
3585,2626,2.774532795368758
3585,2627,1.828058788561343
3585,2628,0.5608250475549338
3585,2629,0.6639123174740755
3585,2630,0.46214093476412205
3585,2631,3.625042546536899
3585,2632,4.941711706489227
3585,2633,1.8510541250786212
3585,2634,0.487716564727255
3586,2596,3.74079163950914
3586,2597,3.7112967697985346
3586,2598,3.0026432918237673
3586,2599,2.958281067831528
3586,2600,2.5351353903741307
3586,2601,2.655024628307863
3586,2602,2.6256904408258976
3586,2603,2.609160647090423
3586,2604,1.8844790808739618
3586,2605,2.285309428332619
3586,2606,1.2590257728302108
3586,2607,1.854997840696852
3586,2608,2.8201159729475975
3586,2609,2.8798606632632895
3586,2610,2.6943027544126577
3586,2611,4.1734681132375115
3586,2612,3.4532538614169153
3586,2613,3.3024017730130844
3586,2614,3.4762805159443855
3586,2615,1.823356453711647
3586,2616,1.7424650701860287
3586,2617,1.419897954314726
3586,2618,1.5049565211698561
3586,2619,1.2392038584839087
3586,2620,1.3600415579437652
3586,2621,1.3338473389534242
3586,2622,0.4823809340364352
3586,2623,1.1330093763759972
3586,2624,1.1452248106693992
3586,2625,1.292800137694662
3586,2626,2.5828155871157326
3586,2627,1.6240961281684627
3586,2628,0.4396256854906556
3586,2629,0.5281641277660549
3586,2630,0.3626249164687259
3586,2631,3.4102360944340986
3586,2632,4.932029762790636
3586,2633,1.6498172225794134
3586,2634,0.4355992701060221
3587,2596,3.8955419053815112
3587,2597,3.866030267162701
3587,2598,3.151307744603159
3587,2599,3.1045812485348185
3587,2600,2.61729433191226
3587,2601,2.7603588126430223
3587,2602,2.7302336828960696
3587,2603,2.7157141793944075
3587,2604,1.9977874037346899
3587,2605,2.439245999810186
3587,2606,1.409892298092448
3587,2607,1.9723453534583724
3587,2608,2.8938836346363916
3587,2609,2.9487090003275807
3587,2610,2.762745818974509
3587,2611,4.217875563048338
3587,2612,3.483144785289071
3587,2613,3.3112406251582645
3587,2614,3.460720170979531
3587,2615,1.887746831337411
3587,2616,1.8107923062991789
3587,2617,1.4652740990867754
3587,2618,1.5280768176068005
3587,2619,1.3283551708950392
3587,2620,1.3681661072764622
3587,2621,1.3157105237376734
3587,2622,0.389116284222942
3587,2623,1.0189605416604184
3587,2624,1.0248328869282672
3587,2625,1.1760512624176116
3587,2626,2.675887818173222
3587,2627,1.7009141186720274
3587,2628,0.3163007991522059
3587,2629,0.41671867413670843
3587,2630,0.22429045381333163
3587,2631,3.419902913291951
3587,2632,5.085959252287234
3587,2633,1.7316027097731836
3587,2634,0.2830727585378746
3588,2596,3.849995599053175
3588,2597,3.8185649650323112
3588,2598,3.138170296402567
3588,2599,3.097439372657916
3588,2600,2.68598481436172
3588,2601,2.809679441317295
3588,2602,2.7803000826826225
3588,2603,2.7638673633074005
3588,2604,2.0391872630264642
3588,2605,2.4058751607395252
3588,2606,1.3437016443438512
3588,2607,1.8659476377931101
3588,2608,2.7735711494758015
3588,2609,2.827941997997531
3588,2610,2.6419667494253227
3588,2611,4.310439773123918
3588,2612,3.582581452593952
3588,2613,3.419050786549343
3588,2614,3.5758286391599565
3588,2615,1.9681689666214794
3588,2616,1.8886751981640215
3588,2617,1.5560892447605683
3588,2618,1.6293824756794981
3588,2619,1.3911576632852476
3588,2620,1.4750522521932605
3588,2621,1.4304279518801695
3588,2622,0.5099052824596887
3588,2623,1.1325500739281449
3588,2624,1.135516506009784
3588,2625,1.2880928201678876
3588,2626,2.736055972455856
3588,2627,1.7730480365706072
3588,2628,0.43107076449020865
3588,2629,0.5342377318204402
3588,2630,0.33293522973725725
3588,2631,3.527446181928308
3588,2632,5.028578294484019
3588,2633,1.8002246936585389
3588,2634,0.36647908553368386
3589,2596,3.356634186028026
3589,2597,3.333112309179459
3589,2598,2.545469783869427
3589,2599,2.491660423142628
3589,2600,2.0912498525995757
3589,2601,2.1761122535991353
3589,2602,2.147737452261153
3589,2603,2.1290047272139665
3589,2604,1.3992268517806816
3589,2605,1.8771250638821293
3589,2606,1.0154405385500929
3589,2607,1.8227547540178826
3589,2608,2.9398805797684453
