source,dest,dist
3583,3140,1.703171292649271
3583,3141,2.00439248299437
3583,3142,1.2236131601073403
3583,3143,1.35187436585002
3583,3144,0.23577739804040226
3583,3145,4.0030423052713076
3583,3146,3.0020286449415727
3583,3147,2.526152914346598
3583,3148,4.0783199968628026
3583,3149,4.080802022798657
3584,3140,1.6434503359285086
3584,3141,1.9325987688333806
3584,3142,1.1572082529953023
3584,3143,1.26756439491231
3584,3144,0.27506285509440465
3584,3145,3.9691172067757403
3584,3146,3.0473877696045637
3584,3147,2.4347797112161134
3584,3148,4.095134012302636
3584,3149,4.133491072721233
3585,3140,1.7963370943304513
3585,3141,2.084345822483181
3585,3142,1.310240619347402
3585,3143,1.409264853665981
3585,3144,0.3428398919593024
3585,3145,4.111717699589698
3585,3146,3.0945113155129547
3585,3147,2.538617360568137
3585,3148,4.186612191381497
3585,3149,4.166306287475534
3586,3140,1.8813305789539767
3586,3141,2.201783385381211
3586,3142,1.4149740273975724
3586,3143,1.5672330187682266
3586,3144,0.3062156969477382
3586,3145,4.125530360645381
3586,3146,2.938978746045115
3586,3147,2.7411868351260105
3586,3148,4.085365153525798
3586,3149,3.9951903872075722
3587,3140,2.0120594227117192
3587,3141,2.3178677242328933
3587,3142,1.5362979952195799
3587,3143,1.656199400642009
3587,3144,0.456333092113043
3587,3145,4.276749920400551
3587,3146,3.06333337404136
3587,3147,2.777247499439
3587,3148,4.231674015221842
3587,3149,4.107398844828438
3588,3140,1.9150736640241595
3588,3141,2.2104019242992967
3588,3142,1.433088567842855
3588,3143,1.539030808289272
3588,3144,0.4003315028104535
3588,3145,4.208251008223062
3588,3146,3.092054520245968
3588,3147,2.6572882890422758
3588,3148,4.224150100556057
3588,3149,4.149878752979633
3589,3140,1.7741679757597324
3589,3141,2.1633609000136205
3589,3142,1.3867237637507366
3589,3143,1.6716367594855308
3589,3144,0.3962476797154621
3589,3145,3.820011620579169
3589,3146,2.4471598216911006
3589,3147,2.9788448849869096
3589,3148,3.6178694473775437
3589,3149,3.5085919931089906
3590,3140,1.5010135256525772
3590,3141,1.9065242365701187
3590,3142,1.1490312255803974
3590,3143,1.48425196750611
3590,3144,0.44194180941432387
3590,3145,3.527010024917545
3590,3146,2.337304097239135
3590,3147,2.838679998393921
3590,3148,3.412194798728385
3590,3149,3.432474833600972
3591,3140,1.5900272795338488
3591,3141,1.9748091717924954
3591,3142,1.1969570130622043
3591,3143,1.4866678179508983
3591,3144,0.288557577929835
3591,3145,3.685694789951714
3591,3146,2.485977607698124
3591,3147,2.807529932110115
3591,3148,3.5867864757839256
3591,3149,3.5699476404474635
3592,3140,2.1045582718962166
3592,3141,2.4694322554570096
3592,3142,1.6807241330752543
3592,3143,1.9023337490546817
3592,3144,0.5559454332747379
3592,3145,4.197212392458009
3592,3146,2.6832066385444033
3592,3147,3.1296523501562
3592,3148,3.9359686286345203
3592,3149,3.698522702740914
3593,3140,1.9511495550031435
3593,3141,2.330053843408297
3593,3142,1.5464070128330745
3593,3143,1.801667770975237
3593,3144,0.4675010075355634
3593,3145,4.0113019000363215
3593,3146,2.5431090789319803
3593,3147,3.0729068630871677
3593,3148,3.764176763894254
3593,3149,3.5796315415567648
3594,3140,1.8295257977327988
3594,3141,2.161228730159549
3594,3142,1.3719465715747476
3594,3143,1.5474019612437728
3594,3144,0.2416183484313029
3594,3145,4.052406580141923
3594,3146,2.8591128290799466
3594,3147,2.751195249453978
3594,3148,4.000456939911108
3594,3149,3.9193498693082947
3595,3140,2.671397498956918
3595,3141,2.7504774543844763
3595,3142,3.131518061669535
3595,3143,3.432564000141467
3595,3144,3.913245622790675
3595,3145,0.4189126464160903
3595,3146,2.9429644256034164
3595,3147,4.223657992481814
3595,3148,1.8869248846897684
3595,3149,3.548950483884352
3596,3140,2.786872776715286
3596,3141,2.848347294650423
3596,3142,3.2533579345057104
3596,3143,3.543970285418421
3596,3144,4.052691268874645
3596,3145,0.4247901304994447
3596,3146,3.0854847003291592
3596,3147,4.299199580028815
3596,3148,1.9883812924403754
3596,3149,3.669980370864956
3597,3140,2.862142725395721
3597,3141,2.9202659105667923
3597,3142,3.3294298155138264
3597,3143,3.6185046385099917
3597,3144,4.129229206085841
3597,3145,0.4782699927871305
3597,3146,3.137450017518681
3597,3147,4.364952066569729
3597,3148,2.010292422843944
3597,3149,3.703655670101452
3598,3140,1.3670805630875593
3598,3141,1.1389322377927165
3598,3142,1.8529614711947493
3598,3143,1.9273793668325894
3598,3144,2.954826067725947
3598,3145,1.574768713835517
3598,3146,3.579124737549603
3598,3147,2.340555376839367
3598,3148,3.3255405885335483
3598,3149,4.5638877420162824
3599,3140,1.460229322601254
3599,3141,1.2331605295042565
3599,3142,1.9472437774701281
3599,3143,2.0214861725128173
3599,3144,3.0471029451523832
3599,3145,1.5224155249820566
3599,3146,3.6236004068871277
3599,3147,2.4097550702822397
3599,3148,3.328822026381479
3599,3149,4.596170114225436
3600,3140,1.5585066786998438
3600,3141,1.3655217364527394
3600,3142,2.05378837009264
3600,3143,2.153553652081545
3600,3144,3.136007776959588
3600,3145,1.360790056252769
3600,3146,3.5784092354400596
3600,3147,2.5753736031745023
3600,3148,3.218198829217906
3600,3149,4.5279074981264875
3601,3140,2.053541735217955
3601,3141,1.9715675255293847
3601,3142,2.5561271522098785
3601,3143,2.7398471494897585
3601,3144,3.5487561883113625
3601,3145,0.6784926940610436
3601,3146,3.4311192103893804
3601,3147,3.2794512500443926
3601,3148,2.7757109092506993
3601,3149,4.2603412647393295
3602,3140,0.725530745777216
3602,3141,1.0676723128467431
3602,3142,1.0763652888508626
3602,3143,1.4641481863936512
3602,3144,1.8478501201927626
3602,3145,1.9743094481914856
3602,3146,2.3330274205755814
3602,3147,2.6318982710300998
3602,3148,2.5870002875969256
3602,3149,3.4124561912882845
3603,3140,0.33584484961822575
3603,3141,0.6442633603663942
3603,3142,0.16904508120216172
3603,3143,0.5195166084076984
3603,3144,1.2933768124457354
3603,3145,2.790823916978335
3603,3146,2.9683710724725776
3603,3147,1.8368757601964547
3603,3148,3.5015083814051056
3603,3149,4.097064520214865
3604,3140,0.8052600350389352
3604,3141,0.9041375373566389
3604,3142,0.40058395817473
3604,3143,0.16392534801815997
3604,3144,1.1833892453722368
3604,3145,3.2672654775928693
3604,3146,3.3448710240269137
3604,3147,1.524071413405919
3604,3148,3.985091886644002
3604,3149,4.478029073436404
3605,3140,0.5407647921886045
3605,3141,0.9911758089819361
3605,3142,0.5039345508683064
3605,3143,0.964099259532219
3605,3144,1.190761265454438
3605,3145,2.6525866093393446
3605,3146,2.4934828240935407
3605,3147,2.311879223862794
3605,3148,3.09162113041664
3605,3149,3.6228417082621416
3606,3140,0.5811816250137005
3606,3141,1.0289397820409605
3606,3142,0.72228077033062
3606,3143,1.1658023092041327
3606,3144,1.4029583316198202
3606,3145,2.421294110687724
3606,3146,2.3539049525545597
3606,3147,2.4658961889814086
3606,3148,2.86233446287954
3606,3149,3.4739551551200445
3607,3140,0.2496373831092066
3607,3141,0.6739206052672576
3607,3142,0.6169776068022036
3607,3143,0.9748139718848757
3607,3144,1.5777010442784842
3607,3145,2.339214105577119
3607,3146,2.687561740868896
3607,3147,2.1722463386184865
3607,3148,3.0706390365975156
3607,3149,3.7977324512911594
3608,3140,0.14993501720265953
3608,3141,0.5601919610497332
3608,3142,0.5953005642182216
3608,3143,0.9089532215122013
3608,3144,1.62008361978602
3608,3145,2.3538787690641065
3608,3146,2.8007109850063308
3608,3147,2.0683615026514324
3608,3148,3.1621175632330543
3608,3149,3.9097531269323227
