X,Y,Z,Type,Name,street,HouseNumbe,neighborho,Operator,Seats,Activity,fencing,lighting,handicappe,handicap_1,yearOfEsta,condition,Owner,ForSchool,associatio,SportType,Id
34.762406061,31.256915304000103,0,מגרש כדורסל – 19X32 מ',רימונים,ישעיהו,1.0,"יי""א",ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,רימון,,,3171
34.777795133000005,31.273396747,0,אצטדיון כדורגל עירוני – 105X68 מ',טרנר,הצדיק מירושלים,1.0,נחל עשן,כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,2014.0,תקין ופעיל,עיריית באר שבע,,"הפועל ב""ש",כדורגל,3172
34.7590073750001,31.254287749000103,0,מגרש טניס,קאנטרי קלאב,,0.0,,קאנטרי קלאב,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3173
34.7586057660001,31.2531898080001,0,בריכת שחיה - 20X50 מ',קאנטרי קלאב,,0.0,,קאנטרי קלאב,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3174
34.758828376000096,31.25282908,0,בריכת שחיה - 25X12.5 מ',קאנטרי קלאב,,0.0,,קאנטרי קלאב,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3175
34.7584745440001,31.254249751,0,מגרש ספורט משולב – 43X32 מ',קאנטרי קלאב,,0.0,,קאנטרי קלאב,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3176
34.7588771530001,31.2536426240001,0,אחר: מתקן ספורט כללי,קאנטרי קלאב,,0.0,,קאנטרי קלאב,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3177
34.782631399,31.268588175999998,0,מגרש כדורסל – 19X32 מ',"בה""ס מקיף אמית",מרדכי מקלף יעקב דורי,0.0,ו' החדשה,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,עמית,,,3178
34.7829138560001,31.2682580540001,0,אולם ספורט קטן – 15x24 מ',"בה""ס מקיף אמי""ת",מרדכי מקלף יעקב דורי,0.0,ו' החדשה,ניהול עצמי,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,עמית,,,3179
34.772631473000004,31.247479613000102,0,מגרש ספורט משולב – 43X32 מ',נתיבי עם,שד' ירושלים,0.0,ט',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,נתיבי עם,,,3180
34.788533027,31.255419298000003,0,מגרש כדורסל – 19X32 מ',נתיבות יורם,בצלאל,35.0,ב',ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,אין נגישות לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,נתיבות יורם,,,3181
34.7964984480001,31.2643023030001,0,מגרש ספורט משולב – 43X32 מ',נעורים,אלכסנדר ינאי,12.0,ד',כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,כיוונים,כדורגל,3182
34.7904767800001,31.269218952000102,0,מגרש כדורגל גדול– 45X90 מ',נירים,"רש""י",3.0,ד',כיוונים,150.0,בתיאום בלבד עם מאיר בוסקילה מנהל נירים,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,כיוונים,כדורגל,3183
34.777571515,31.225239576,0,מגרש ספורט משולב – 43X32 מ',נחל בקע,,0.0,,כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3184
34.806820364000004,31.2622378410001,0,אולם ספורט גדול - 45X24 מ',מרכז הספורט באוניברסיטת בן גוריון,,0.0,,אוניברסיטת בן גוריון,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3185
34.807688447,31.261238554000002,0,מגרש טניס,מרכז הספורט באוניברסיטת בן גוריון,,0.0,,אוניברסיטת בן גוריון,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3186
