X,Y,Z,Name,type,oldName,Id
34.7672211840001,31.240289369,0,דוגית,גן ילדים,,2635
34.765506437000106,31.246610808000103,0,שומרון,גן ילדים,,2636
34.766798726,31.256710685,0,שרת,גן ילדים,,2637
34.77042483,31.238723667,0,חופית,גן ילדים,,2638
34.7793997590001,31.237180494,0,רביבים,גן ילדים,,2639
34.771349421,31.24531303,0,אופירה,גן ילדים,,2640
34.772288476,31.2570267880001,0,מאדים,גן ילדים,"רד""ק",2641
34.776473356000096,31.2472202810001,0,אדמה,גן ילדים,השלושה,2642
34.793461564,31.231644607000103,0,אורנים,גן ילדים,,2643
34.788903722,31.24485416,0,גיל,גן ילדים,,2644
34.7931813820001,31.248998213,0,חלילית,גן ילדים,ברנר,2645
34.770947904,31.266391963,0,ירקון,גן ילדים,,2646
34.781192036,31.264681172000103,0,ציון,גן ילדים,,2647
34.780749863000004,31.2652417350001,0,גפן,גן ילדים,,2648
34.782543819000104,31.265390564,0,חרצית,גן ילדים,רקפת,2649
34.798123536,31.284866023000102,0,הרצוג,גן ילדים,,2650
34.800928938,31.266470923000004,0,אור,גן ילדים,,2651
34.778613598,31.2576379330001,0,הגר,גן ילדים,,2652
34.7934103440001,31.262049369000103,0,נרקיס,גן ילדים,,2653
34.7974697060001,31.272433277000104,0,שושן,גן ילדים,,2654
34.8062869930001,31.2489907140001,0,המעפילים,גן ילדים,,2655
34.8036564920001,31.256141755999998,0,איילה,גן ילדים,מיתרים,2656
34.806713552000105,31.2723736360001,0,גלעד,גן ילדים,,2657
34.806626647,31.270940094,0,מירון,גן ילדים,,2658
34.809196852000106,31.275323728000004,0,כרמל,גן ילדים,,2659
34.7608731650001,31.2658790450001,0,יקינתון,גן ילדים,,2660
34.777411873000105,31.2374794360001,0,"חט""צ יחדיו",גן ילדים,,2661
34.774790352,31.24554511,0,ירושלים,גן ילדים,,2662
34.76775761,31.2367686540001,0,אורן,גן ילדים,תאנה,2663
34.800705797,31.279173620999998,0,ירדן,גן ילדים,,2664
34.7685933070001,31.270647608,0,פלג,גן ילדים,,2665
34.804816480999996,31.284044049000002,0,גולן,גן ילדים,,2666
34.7681189730001,31.2603826700001,0,אפיק,גן ילדים,,2667
34.774353782,31.236929574,0,שחף,גן ילדים,,2668
34.7899430750001,31.256082109,0,כנרת,גן ילדים,,2669
34.779866831999996,31.259251998000003,0,ערבה,גן ילדים,,2670
34.800734908,31.281733878000104,0,דולב,גן ילדים,,2671
34.7867536740001,31.259782238000103,0,לולב,גן ילדים,,2672
34.7697875380001,31.25967633,0,מאיר,גן ילדים,,2673
34.7733318300001,31.266383712,0,תפארת,גן ילדים,,2674
34.8200231550001,31.2772971700001,0,נגבה,גן ילדים,,2675
34.7976141130001,31.281638748000002,0,שניר,גן ילדים,,2676
34.772288476,31.2570267880001,0,פלוטו,גן ילדים,"רד""ק",2677
34.7896725530001,31.230948631999997,0,שיזף,גן ילדים,,2678
34.7855287950001,31.2384056500001,0,ההגנה ב',גן ילדים,,2679
34.788805112,31.244875002000104,0,אסף,גן ילדים,,2680
34.776367635999996,31.259376564,0,שעורה,גן ילדים,,2681
34.793756558000005,31.254922804,0,ביאליק,גן ילדים,,2682
34.781192036,31.264681172000103,0,ישראל,גן ילדים,ציון,2683
34.780749863000004,31.2652417350001,0,עינב,גן ילדים,גפן,2684
34.782543819000104,31.265390564,0,רקפת,גן ילדים,,2685
34.7934103440001,31.262049369000103,0,לוטוס,גן ילדים,נרקיס,2686
34.796035853,31.271655996999996,0,צבר,גן ילדים,,2687
34.808785008,31.257118749,0,דובדבן יפני,גן ילדים,,2688
34.7899761030001,31.2704150500001,0,לימונית,גן ילדים,לימון,2689
34.7991800660001,31.265074333,0,נחליאלי,גן ילדים,,2690
34.7770978880001,31.237365223,0,"חט""צ יחדיו",גן ילדים,,2691
34.773177124,31.237044816999997,0,חט''צ נווה שלום,גן ילדים,,2692
34.7563290680001,31.2666587890001,0,רותם,גן ילדים,,2693
34.775616306000096,31.244074573000002,0,אשכול,גן ילדים,,2694
34.764863571999996,31.268372237000104,0,נווה מנחם,גן ילדים,,2695
34.762889708,31.258468565999998,0,צאלה,גן ילדים,,2696
34.804519365,31.2733442540001,0,רמות,גן ילדים,,2697
34.764032506999996,31.2462759810001,0,לון,גן ילדים,,2698
34.78337221,31.2497042360001,0,חוגלה,גן ילדים,,2699
34.7736155260001,31.252031953000003,0,הצבי,גן ילדים,,2700
34.759597473,31.26461368,0,היובל,גן ילדים,,2701
34.7707502260001,31.255169976999998,0,שביל החלב,גן ילדים,עוזיאל,2702
34.7702571090001,31.248614213000103,0,דותן,גן ילדים,,2703
34.7800229040001,31.231677057000102,0,יערה,גן ילדים,,2704
34.7681189730001,31.2603826700001,0,נהר,גן ילדים,אפיק,2705
34.7862204260001,31.248350347,0,כינור,גן ילדים,עובדי מדינה,2706
34.8076686950001,31.2876840160001,0,גליל מערבי,גן ילדים,,2707
34.7697875380001,31.25967633,0,תאיר,גן ילדים,מאיר,2708
34.765148525,31.23177875,0,צוף,גן ילדים,צופית,2709
34.808166731,31.2497304620001,0,הגר,גן ילדים,,2710
34.7648899180001,31.2542674160001,0,אשכולית,גן ילדים,,2711
34.775067698,31.238611603000003,0,דביר,גן ילדים,,2712
34.7679557180001,31.2555936810001,0,נוגה,גן ילדים,,2713
34.7746788440001,31.255290779000102,0,אלמוג,גן ילדים,,2714
34.8031704590001,31.2708369900001,0,אפיקים בנגב,גן ילדים,,2715
34.794757008000005,31.266520244000002,0,אדווה,גן ילדים,גלית,2716
